dim,value
0,-0.5901887609609066
1,-1.468640563788179
2,-0.4488994223423872
3,0.37430974800608696
4,0.48218382094796236
5,0.4708576562156024
6,0.25424531460074434
7,-0.25356032987295446
8,0.671404846411399
9,0.8040653751912812
10,0.04088371803432051
11,-0.01932433672132538
12,-0.1663258141357291
13,-0.0160804350014582
14,-0.28930687724707843
15,-0.02223709208466828
16,-0.126276426406145
17,-0.005809781863757533
18,-0.14655858335926508
19,-0.3270024155992066
20,-0.0934070971412573
21,0.1293018731199204
22,-0.17480308818488113
23,0.5065177235561726
24,0.12871262740801231
25,0.005946977726691634
26,-0.42484042281827583
27,-0.5653343503799508
28,0.4122925241365855
29,-0.12748029646677492
30,-0.27066107630426056
31,-0.052873610270100825
32,0.8029951611400461
33,-0.30612794455509473
34,-0.23342534632853248
35,-1.3116683533997087
36,-0.17480308818488113
37,-0.0934070971412573
38,0.1346596051347028
39,0.8550301726302221
40,1.346305666045198
41,-0.4893908808534336
42,-0.8982735009251155
43,-0.6279614587266708
44,-0.046851117667545274
45,-0.4604035625381332
46,0.5863860937047858
47,0.7019122451788387
48,0.01675432491787711
49,-0.5573421998683582
50,0.535358162049009
51,1.1100786995822085
52,0.6315470014647866
53,-0.6059294502807087
54,-0.21039069192976004
55,0.17259042611808517
56,-0.7380721152733052
57,-0.08948105268160601
58,-0.40263378331017785
59,0.7949066023705909
60,-0.027909394829755022
61,1.4136038317594224
62,-0.9643734942881883
63,-0.08281957850372787
64,-0.12334207511430464
65,-0.6220011145540111
66,-0.21125633026010596
67,-0.023539935486102663
68,0.2617806161006193
69,-0.4330908160504978
70,-0.2990495348106031
71,-0.09628909071433088
72,-0.6510118453171774
73,0.06082308435626233
74,-1.130254901663244
75,0.5400661407023191
76,-0.8296458057220135
77,0.2394570447611072
78,-1.0173254733182466
79,-0.23109554756857095
80,-0.1292554258215582
81,0.38352276157942855
82,0.4039649241680327
83,0.3108097080270406
84,0.5134814977220409
85,0.22960988964013962
86,-0.17447159036730406
87,0.5550803426854977
88,0.43758760238698313
89,-0.14668274087475505
90,-0.0809770467025627
91,0.1540858039706131
92,-0.3372663397566822
93,-0.49715154476186246
94,-0.22759866095412082
95,0.1920262022971715
96,0.31711919933220034
97,0.4177500314646034
98,0.561173169888077
99,0.6227010792537342
100,-0.04911531249817982
101,-0.018572569130757072
102,-0.406992998031549
103,-0.4401012601228451
104,-0.2641266392987969
105,0.2201933535520907
106,0.16103112342235198
107,-0.15905032195437852
108,-0.03405190390890655
109,-0.007741179219846856
110,0.09976128190275564
111,-0.14217394553371462
112,-0.614076425957859
113,-0.05057525015996746
114,-0.005115295294944328
115,-0.11004922476131859
116,-0.022535481053320507
117,-0.1995816875585286
118,0.015216601248020534
119,-0.2368209665321982
120,-0.05204114033926213
121,-0.22655125473590904
122,0.04812629174242527
123,-0.0010891400492196797
