dim,value
0,-0.6181528160786276
1,-1.4188669370850027
2,-0.40464629628500265
3,0.1957399666395047
4,0.46212312863976435
5,0.5474973220120986
6,0.3072903964784999
7,-0.17549106545674606
8,0.5615941410738853
9,0.7822647216221672
10,0.007236775525313645
11,-0.009513748307107323
12,-0.23503301059190332
13,-0.02318912777766552
14,-0.23377143972450395
15,0.007097760563547254
16,-0.17039610281874995
17,-0.031142709753621284
18,-0.18994032434529973
19,-0.4080113486726957
20,-0.21644831273722445
21,0.12489984566676036
22,-0.16495009382182624
23,0.5786913405928922
24,0.11421970715399359
25,0.01159072763929342
26,-0.3660106580918175
27,-0.569042228144249
28,0.43116148781654406
29,-0.03337440554552754
30,-0.3016019527340763
31,-0.0044941103199156954
32,0.7741779112798962
33,-0.2871179630092693
34,-0.3018427631514085
35,-1.274048341967431
36,-0.16495009382182624
37,-0.21644831273722445
38,0.12581043479328516
39,0.9114834976545625
40,1.3021624097057591
41,-0.6316856619997522
42,-0.8245622666662129
43,-0.6436052333280734
44,-0.1208751217312679
45,-0.4787422754053053
46,0.7791553333462312
47,0.8072472771376286
48,0.20145574632181917
49,-0.5939689780913932
50,0.37011361816159194
51,1.019247732355493
52,0.6502317053578336
53,-0.5362313039472778
54,-0.21805958115349328
55,0.09055132369097714
56,-0.769097825191244
57,-0.02003692188189217
58,-0.5180544397048914
59,0.7966486152915542
60,-0.04169875800261274
61,1.3900475976440168
62,-0.9247516089525222
63,-0.16492264567681536
64,-0.07332111545915336
65,-0.6091496819040795
66,-0.23605536173007943
67,0.04113704188798227
68,0.23121822525903943
69,-0.457804901773846
70,-0.335571702583291
71,-0.09713147886851087
72,-0.6291352825664016
73,0.010982466487771098
74,-1.1054646247761712
75,0.48731180869753976
76,-0.8171368885674212
77,0.1989840724888018
78,-1.1804956151341273
79,-0.2735395059130597
80,0.10619378036562808
81,0.3894440043736832
82,0.3402445202292407
83,0.4320567981729213
84,0.5620504364083855
85,0.3027844864325886
86,-0.1936063518304869
87,0.5823431837427185
88,0.492401296004805
89,-0.19112956839024978
90,-0.20014508566521155
91,0.22742237069053572
92,-0.40867443238545614
93,-0.556082983315158
94,-0.3304934780068587
95,0.32671843162553016
96,0.27873181217562154
97,0.3782551337597543
98,0.5770089864846583
99,0.7226525254645947
100,-0.006359261926628582
101,0.037753551259128576
102,-0.48123708963687567
103,-0.38667618510833013
104,-0.23422789555339826
105,0.27711844425744164
106,0.24408134781743793
107,-0.23429174795974425
108,-0.05318706427668876
109,-0.0017220811297753913
110,0.11484851467113258
111,-0.13379233304311156
112,-0.7727421282930304
113,-0.05662273731607839
114,-0.008176503673530545
115,-0.1503932525055967
116,-0.020568604859298553
117,-0.2066587834150509
118,0.08568608611346804
119,-0.27332099189237535
120,-0.06912736589966756
121,-0.2573554237630205
122,0.05767100496824631
123,-0.001612241343992565
